account_id,npi,name,territory,district,region,specialty,payer_channel,trx_ttm,nrx_ttm,market_nrx_ttm,nrx_share_ttm,nbrx_ttm,months_since_rx,months_since_activity,calls_90d,call_plan_90d,first_brand_month,adoption_stage,decile
HCP0001,9999000001,Dr. Morgan 001,N-PCP-01,North District 1,North,Primary Care,Commercial,262.144,61.604,685.841,0.08982222,43.739,0,0,14,14.16,2024-07,established,5
HCP0002,9999000002,Dr. Morgan 002,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,310.527,72.974,812.426,0.08982222,49.622,0,0,11,18.24,2024-07,established,6
HCP0003,9999000003,Dr. Morgan 003,N-PCP-01,North District 1,North,Primary Care,Medicaid,64.943,15.262,291.04,0.05243827,11.446,0,0,11,8.04,2025-12,established,1
HCP0004,9999000004,Dr. Morgan 004,N-PCP-02,North District 2,North,Primary Care,Cash,207.043,48.655,541.683,0.08982222,31.139,0,0,12,10.08,2024-07,established,3
HCP0005,9999000005,Dr. Morgan 005,N-PCP-01,North District 1,North,Primary Care,Commercial,168.839,39.677,441.729,0.08982223,28.171,0,0,6,8.04,2024-07,established,2
HCP0006,9999000006,Dr. Morgan 006,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,313.77,73.736,820.91,0.08982222,50.14,0,0,17,18.24,2024-07,established,6
HCP0007,9999000007,Dr. Morgan 007,N-PCP-01,North District 1,North,Primary Care,Medicaid,358.329,84.207,937.489,0.08982222,63.155,0,0,26,20.28,2024-07,established,8
HCP0008,9999000008,Dr. Morgan 008,N-PCP-02,North District 2,North,Primary Care,Cash,168.438,39.583,440.681,0.08982223,25.333,0,0,7,8.04,2024-07,established,2
HCP0009,9999000009,Dr. Morgan 009,N-PCP-01,North District 1,North,Primary Care,Commercial,80.492,18.916,424.316,0.04457918,13.43,0,0,13,8.04,2026-01,recent_adopter,1
HCP0010,9999000010,Dr. Morgan 010,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,229.093,53.837,599.371,0.08982222,36.609,0,0,14,12.12,2024-07,established,4
