account_id,npi,month,territory,district,region,specialty,payer_channel,trx_units,trx_dollars,trx_normalized,nrx,nbrx,market_trx,market_nrx,il17_competitor_a_trx,il17_competitor_b_trx,advanced_other_trx,il17_class_trx,advanced_therapy_trx,calls,call_plan,samples,speaker_attendance,new_writers,speaker_launch_active,formulary_win_active,competitor_launch_active
HCP0001,9999000001,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,20.232187,1922.867034,20.232187,4.754564,3.37574,235.257986,52.933047,33.101444,26.008278,155.916077,79.341909,235.257986,5,4.72,10,1,,0,0,0
HCP0002,9999000002,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,23.966421,2024.683207,23.487092,5.632109,3.829834,278.67931,62.702844,39.210944,30.808599,184.693346,93.985964,278.67931,5,6.08,8,0,,0,0,0
HCP0003,9999000003,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,0.0,0.0,0.0,0.0,0.0,99.832808,22.462382,18.854698,14.814406,66.163704,33.669104,99.832808,3,2.68,6,0,,0,0,0
HCP0004,9999000004,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,15.979555,1406.200804,16.299146,3.755195,2.403325,185.808775,41.806974,26.143805,20.541561,123.143854,62.664921,185.808775,2,3.36,2,0,,0,0,0
HCP0005,9999000005,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,13.030927,1238.459336,13.030927,3.062268,2.17421,151.52241,34.092543,21.319619,16.751129,100.420735,51.101675,151.52241,3,2.68,7,0,,0,0,0
HCP0006,9999000006,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,24.216717,2045.828268,23.732383,5.690929,3.869831,281.589735,63.35769,39.620449,31.130353,186.622216,94.967519,281.589735,11,6.08,17,1,,0,0,0
HCP0007,9999000007,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,27.655757,1995.639415,26.272969,6.499103,4.874327,321.578568,72.355178,45.246987,35.551204,213.12462,108.453948,321.578568,3,6.76,4,0,,0,0,0
HCP0008,9999000008,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,13.000023,1144.002012,13.260023,3.055005,1.955203,151.163057,34.011688,21.269057,16.711402,100.182575,50.980482,151.163057,7,2.68,20,0,,0,0,0
HCP0009,9999000009,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,0.0,0.0,0.0,0.0,0.0,145.549298,32.748592,27.48884,21.598374,96.462084,49.087214,145.549298,5,2.68,13,0,,0,0,0
HCP0010,9999000010,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,17.68135,1493.720439,17.327723,4.155117,2.82548,205.597092,46.259346,28.928075,22.729202,136.258465,69.338627,205.597092,1,4.04,5,0,,0,0,0
HCP0011,9999000011,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,0.0,0.0,0.0,0.0,0.0,333.437668,75.023475,62.973953,49.479535,220.98418,112.453488,333.437668,5,6.76,10,0,,0,0,0
HCP0012,9999000012,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,15.313238,1347.56494,15.619503,3.598611,2.303111,178.060906,40.063704,25.053658,19.685017,118.008993,60.051913,178.060906,6,3.36,10,0,,0,0,0
HCP0013,9999000013,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,22.059862,2096.569252,22.059862,5.184067,3.680688,256.51002,57.714754,36.091664,28.357736,170.000758,86.509262,256.51002,0,5.4,0,0,,0,0,0
HCP0014,9999000014,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,21.079914,1780.831136,20.658316,4.95378,3.36857,245.11528,55.150938,34.488393,27.098023,162.44895,82.66633,245.11528,2,4.72,6,0,,0,0,0
HCP0015,9999000015,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,40.662583,2934.212011,38.629454,9.555707,7.16678,472.820736,106.384666,66.527176,52.271352,313.359625,159.461111,472.820736,6,8.12,11,0,,0,0,0
HCP0016,9999000016,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,13.226847,1163.962522,13.491384,3.108309,1.989318,153.800545,34.605123,21.640159,17.002982,101.930557,51.869988,153.800545,7,3.36,14,0,,0,0,0
HCP0017,9999000017,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,27.673955,2630.132697,27.673955,6.503379,4.617399,321.790176,72.40279,45.276761,35.574598,213.264862,108.525314,321.790176,4,6.76,13,0,,0,0,0
HCP0018,9999000018,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,13.094899,1106.257096,12.833001,3.077301,2.092565,152.266271,34.259911,21.424282,16.833365,100.913725,51.352546,152.266271,2,2.68,10,0,,0,0,0
